,logFC,AveExpr,t,P.Value,adj.P.Val,B
C6orf132,6.830363335046825,1.297014046126621,65.86175650200452,2.23101172987e-313,9.23446941177e-312,707.9989462439383
HNRNPA1P4,4.588426263671378,-3.6902623558036445,65.82516710149888,3.17945864616e-313,1.3103863075507e-311,706.6657258019058
RND3,7.177247338279527,1.6714441436602945,65.79610361695009,4.2131075221e-313,1.7253123505947e-311,707.4118066365102
SEPT8,3.9945961578666447,4.074478786799497,65.71996140007329,8.81169464024e-313,3.5855959141784e-311,706.7306568040054
GRB7,8.639654109013325,0.9929296958471094,65.58193996765003,3.362120598464e-312,1.3594692260217e-310,705.2478694996797
CDS1,6.17828930933118,1.3312813133118993,65.5792272152487,3.4518516297e-312,1.38991188947395e-310,705.2696027055543
CLDN7,6.419575452854511,3.109127373757563,65.41353690213842,1.7272255431564e-311,6.8970767695293e-310,703.7799324905018
ETV4,8.394629644361272,-0.12772031326881406,65.3959922258397,2.048657670633e-311,8.16366753347226e-310,703.2653506722288
NET1,4.599121692002997,4.647573907969653,65.32091158291779,4.2541987377534e-311,1.691747171602053e-309,702.839863798343
HACD3,3.276839465229233,4.411307411129932,65.28763479411295,5.882378523363e-311,2.329591346484927e-309,702.5204985089088
MMP15,5.812221873182644,2.2810192156589553,65.255317871945,8.0589206857673e-311,3.185011220512596e-309,702.2191854372647
TANC1,4.688460869928347,2.0094645026558804,65.25491897990887,8.090302862163e-311,3.190861868607655e-309,702.1952847679586
CDR2L,5.857035864023562,1.9070766194288509,65.25138151929404,8.3740151563183e-311,3.296005515616743e-309,702.1517149593141
MAL2,8.607451098678567,2.6634262285145853,65.16872899478365,1.8743242611072e-310,7.33234127104279e-309,701.3927502368299
FBLIM1,6.605489461645268,2.4900672313069463,65.10780800217013,3.3958942816784e-310,1.3177576056343597e-308,700.7929284663344
EFNB2,5.864954360693661,1.868232944909228,65.05555913315757,5.6553109800872e-310,2.185698201480681e-308,700.2404953758996
PPP1R13L,4.876915106939597,3.5769012201874464,64.9628011683131,1.399584045983327e-309,5.376805216175867e-308,699.3767405851288
TEAD1,5.821882804019542,1.8981558513969081,64.86363049524202,3.691336466717735e-309,1.4013245162705376e-307,698.369711768298
SDC4,5.175673104977736,5.295536979072958,64.81508601033686,5.936349994710615e-309,2.2403319283959847e-307,697.8953728618073
DSTN,2.65908307313582,6.355187731190171,64.77541931444459,8.75388677990517e-309,3.2971831478049868e-307,697.511741312793
DAB2IP,4.701754907425671,3.0473824404172545,64.77108794011771,9.133228671463266e-309,3.433344770305732e-307,697.51237650867
PTPN3,6.037396739982081,1.3950547805415838,64.70067605992004,1.820708438644875e-308,6.804500061863672e-307,696.7221772848927
EPN3,9.365134757071875,0.5316640402976995,64.69607969494255,1.9046129358070783e-308,7.1042800727672166e-307,696.5552570383612
ITGB6,9.62654691695684,1.137477755514746,64.51786215513276,1.0944894262854891e-307,4.0433086348784667e-306,694.8986808477423
MDFI,8.755370524526061,0.378762326719935,64.4933472031227,1.3924730177406449e-307,5.134277427673217e-306,694.5472234745868
ICMT,2.2370218435877742,5.092914175602092,64.41692054073442,2.9510950290069894e-307,1.0818995433009052e-305,693.9894003962434
MARVELD3,7.6468276547741185,-0.14835193679774547,64.3293384978937,6.984299783950313e-307,2.550793509330013e-305,692.8569977541395
PARVA,5.38306622954675,2.4241685660965078,64.31354681089282,8.15869434818749e-307,2.9740604189311483e-305,693.0122486503112
TPBG,6.0067973555898275,1.7606395376019652,64.31098762634446,8.36681891820665e-307,3.0441618850420304e-305,692.9405245436229
HOXA13,8.187556078268337,-1.6108608211770665,64.17893981434345,3.072087611929467e-306,1.1031431019926579e-304,691.1396117618641
SFN,7.630613161418178,4.4769794473445375,64.0959976512585,6.960737793232301e-306,2.4718324779767912e-304,690.8369725019634
FAM114A1,3.6262810340732496,3.232428397087826,64.06607009770867,9.352034513322472e-306,3.3087979462852507e-304,690.580865271754
CBLC,9.45493575889026,0.07247920705244745,63.90420894315698,4.626595956499996e-305,1.619056224995553e-303,688.7097718810512
EFS,6.948895718936495,1.3878659182978645,63.87900660767663,5.935871427488385e-305,2.073461295188184e-303,688.6453338610876
SEMA3F,6.954263556075493,3.029728687769068,63.83318593369658,9.339453811831317e-305,3.2564577448608216e-303,688.2836835654525
SH3D19,4.78801741083812,2.142864769044814,63.63086176890773,6.9284457471298475e-304,2.3855419551879814e-302,686.2595771540209
BRIX1,2.9718077648991432,3.5356327530277487,63.53320236646923,1.825612108472206e-303,6.263379011009723e-302,685.2990946224844
KCTD3,3.6176340474464075,3.0354996314924723,63.51488944160036,2.1895791314007936e-303,7.498724117806241e-302,685.1302427126758
PCDHB14,6.994491226663523,-0.9750397766767321,63.47819860393143,3.152043705676672e-303,1.0737590301444055e-301,684.3420729613624
LINC00998,3.2533010528905315,3.0010733375970275,63.457029800598995,3.8896691579298175e-303,1.3226936799059222e-301,684.5562520055505
STRA6,7.89635648727426,-1.7719787306631196,63.45608139753843,3.926489896515851e-303,1.33285980667091e-301,683.9863315556833
PPFIBP1,4.450027309988211,2.3435413621573344,63.363597857431216,9.845108573155915e-303,3.3243649948689806e-301,683.61846300387
MOCOS,6.5577245666261526,0.4898253885746916,63.28954615201799,2.056657325463055e-302,6.920364255801997e-301,682.6903542599651
CNN3,5.003718273015001,3.588475881819996,63.27901219924196,2.2839936620270029e-302,7.671906808557369e-301,682.7709052134716
ADCY6,4.4830470402444735,2.5030513513576502,63.24057117024495,3.3488844714428576e-302,1.1209735551627945e-300,682.4007076322848
TINAGL1,7.189455297789932,3.8978794815892863,63.12239209235219,1.0871722389788138e-301,3.595327162134919e-300,681.1987060615609
CDH1,7.680927177717253,4.1586419825396215,63.10849138160323,1.2488038057761813e-301,4.12276618349471e-300,681.0505426620145
NUDT15,2.901849126602837,2.4919918015018254,63.09047757748724,1.4945655997160828e-301,4.925668509886206e-300,680.9056931440099
FRK,7.115611949149485,-0.30547826933031574,63.03841217960511,2.5124913739835157e-301,8.266311363258244e-300,680.0785777130789
FRMD6,6.0090563353525,1.9357106162895867,62.987248822967864,4.187067677129884e-301,1.3682256635266364e-299,679.848458413707
PCGF2,5.958746128515858,2.4335603504012755,62.93276539603523,7.2151293049029915e-301,2.3339427517893763e-299,679.3308112132952
ZBTB8A,4.7613082495271515,0.4798426235089134,62.912068823065454,8.872720478980429e-301,2.860523468323891e-299,678.9333690014572
GAREM,7.137820155577642,0.8525290628877333,62.70692202613485,6.908482171436404e-300,2.201449608503915e-298,676.9359659735054
TEAD3,5.09583022387932,3.1075941070336013,62.65942772862791,1.1117830572857506e-299,3.5252864091563168e-298,676.5994719541083
IL20RA,8.361347885757727,-0.5748000429598003,62.58817378798061,2.271070281358356e-299,7.177551675747829e-298,675.5494209615795
B4GALT2,3.9781117129585253,3.5571135011071853,62.392014997599034,1.6273005751974094e-298,5.0927892960690306e-297,673.9018322361117
TFAP2A,8.353261074467785,0.10701637380913823,62.38729890944068,1.7062867520301955e-298,5.3313151162865535e-297,673.6349631185906
PAK4,3.0325376301191915,4.352752918925124,62.29302860188807,4.4028490172167754e-298,1.364599597976993e-296,672.875966335335
TACSTD2,7.345480907075115,5.184502631736615,62.26197911104576,6.0175603923458194e-298,1.8590687780333866e-296,672.5501294332303
HSPG2,4.913373698816349,4.8321193514011105,62.24148019961754,7.396496869625764e-298,2.2814162700270367e-296,672.3468779171618
ESRP2,7.083948483614106,2.0745101008412328,62.197724772440736,1.1491013332888387e-297,3.533027693579917e-296,671.9484837269976
PROM2,7.927412086384149,2.7156013856228167,62.039770355070594,5.6469585627771554e-297,1.7197311939520872e-295,670.3758906348988
ARHGAP39,5.341250603221402,0.6174100543725333,61.98679235522524,9.638196736595427e-297,2.925968021912495e-295,669.6798916565283
DOCK7,3.2386892358379438,2.6607252985396777,61.93447452631508,1.6346138823302387e-296,4.938997392968619e-295,669.3133966676293
CTTNBP2NL,3.560431194541971,2.7952117599611386,61.84685619825369,3.962086977310804e-296,1.1896768806911238e-294,668.428499638706
LAMA5,4.666169763563304,4.865395880889438,61.748617905457955,1.0702239232923335e-295,3.193581372342255e-294,667.3710590129613
