,logFC,AveExpr,t,P.Value,adj.P.Val,B
NDUFA4L2,10.572770389017315,5.0122279175864355,85.19004255113684,0.0,0.0,964.5064765546201
SLC3A1,9.799254743531879,4.215764217671035,85.1811652220589,0.0,0.0,964.4294564363416
CDH5,6.988438954566659,3.63220696762358,85.14117176637221,0.0,0.0,964.0619676351067
CASKIN2,5.255416943514758,2.8830896847706864,85.08589660777149,0.0,0.0,963.5213886504175
FAM213A,4.809823208492952,4.206797945629524,84.98830893462478,0.0,0.0,962.6667159980883
DIXDC1,5.206870434716439,2.91586310606415,84.9376017033985,0.0,0.0,962.1684979333801
PRKAA2,8.196369200215504,1.7948299334379214,84.84856956648021,0.0,0.0,961.2015289680351
EVA1A,8.700493637072858,0.4796290504764406,84.81633561532337,0.0,0.0,960.6141081952136
CDC42BPB,3.332656925334813,5.112537687122984,84.79293350784296,0.0,0.0,960.8729220494687
ZNF214,6.422577404147337,-1.630856667775399,84.75987700700917,0.0,0.0,959.6362434711348
ERBB3,7.919563322865198,3.5006622867275916,84.7350311159803,0.0,0.0,960.3427763422228
ZDHHC9,3.655129577441695,4.311343496682318,84.62360156877008,0.0,0.0,959.3238876954986
USH1C,11.473350978002212,1.3515350159083075,84.59432426834078,0.0,0.0,958.7838976936213
RP11-64K7.1,4.0390761283627175,-4.019433659876725,84.58849180941002,0.0,0.0,957.4981059967882
SEMA5A,7.288521306795987,2.14710793767563,84.47182917538707,0.0,0.0,957.8096400217985
RASEF,8.205227358514744,0.19820084817226266,84.42420712663485,0.0,0.0,956.9577663465985
TSPAN6,6.926397692380158,2.0865257033433435,84.27172822659132,0.0,0.0,955.9612624847421
PPAP2A,5.991217335322578,4.43229812424794,84.19558539924557,0.0,0.0,955.3860788137176
HOXD9,8.37492525524686,0.194585479283347,84.13812302586936,0.0,0.0,954.3302449989153
LINC01116,8.680205088149451,-0.042121532573239195,84.13120823165043,0.0,0.0,954.2120497083713
NOX4,8.89065046808012,0.48239273757882445,83.92073835685632,0.0,0.0,952.3964594415419
TANC1,5.268006938086257,2.724976936097846,83.8649256364513,0.0,0.0,952.2916755335816
MYO1C,3.3692458900902023,6.043337692886488,83.84708837941135,0.0,0.0,952.1653532227588
PCDHB13,7.340859285844712,-1.0020825867414473,83.8428421858251,0.0,0.0,951.3569437885678
EI24,2.2572069456640573,5.0241484802020855,83.7996271192927,0.0,0.0,951.7262934616119
AP001626.1,9.1741972899713,-0.12362425087008681,83.76905758442449,0.0,0.0,950.8591031702227
PARD3,4.965940606731724,3.2498553698755774,83.63381600069248,0.0,0.0,950.1880698867625
BCO1,8.264610585714454,-1.2661310917061173,83.56827988455383,0.0,0.0,948.7725879671559
AMOTL2,6.981031889569666,3.244740441993749,83.5254558380962,0.0,0.0,949.1838480294259
DIP2C,5.1923948098576735,3.028806022519944,83.42199211894146,0.0,0.0,948.2138005292394
PKD2,3.828688238371612,4.482078153655148,83.3593409000125,0.0,0.0,947.6482725594101
UNC13B,4.471727577864112,3.3251626809923356,83.35877241177948,0.0,0.0,947.6402430673236
FXYD2,9.439425224659507,4.18830029855702,83.29211124544487,0.0,0.0,947.026232649072
THY1,8.194562037883035,3.8531999531168335,83.27318223778332,0.0,0.0,946.852105356071
PCYOX1,3.6758842090991184,5.11103618291898,83.26700838834878,0.0,0.0,946.7863965469563
RAPGEF5,6.252280429981553,2.819161582845482,83.2195304958904,0.0,0.0,946.3194091059794
SEPT8,3.8142541871114752,4.278525160697325,83.0675248980596,0.0,0.0,944.9358914377283
DSG2,8.579755819620132,2.8109535085939172,82.92914648747607,0.0,0.0,943.6161692027529
SAMD5,7.975614607297965,-0.23218046243928242,82.89542388151206,0.0,0.0,942.7450197902353
STC1,8.902385098460181,3.0254739338765577,82.8730704233863,0.0,0.0,943.1075818269152
GJC1,7.956964789302591,1.0376882874505586,82.8523936773404,0.0,0.0,942.6243017981143
TNS2,5.231214765542775,4.464942598460895,82.8146783313288,0.0,0.0,942.576292331277
TMEM26,7.536967362277991,-1.0002459500328804,82.7989982499339,0.0,0.0,941.6952029484816
SYDE1,6.626886671173837,1.9151151984841719,82.74873013048983,0.0,0.0,941.8258472568906
EPS8L2,5.084827204915837,4.6260682048502995,82.74158589452816,0.0,0.0,941.8921872499417
BICC1,8.656790326007645,2.5639810786657966,82.7403673527754,0.0,0.0,941.8334695333901
TCAF1,3.917213963747823,3.9822804212927827,82.68964891345362,0.0,0.0,941.4128322851341
KIRREL,7.6322326688205635,2.7075809957594097,82.66761392887348,0.0,0.0,941.1674605317968
EHD2,6.291509405776623,4.983859939006396,82.58514975814879,0.0,0.0,940.4271898842288
HOXD10,7.945901035494502,-0.9733936651611829,82.5708561841152,0.0,0.0,939.5758464510474
RP11-274H2.5,7.071197345275867,-1.752480070557509,82.5667950342361,0.0,0.0,939.3855648530795
MID1,7.230583108024355,1.865076764227585,82.543634560032,0.0,0.0,939.9025818667112
HOXD-AS2,6.5484927681662635,-2.1780393246380214,82.53109330353503,0.0,0.0,938.964089702897
HNF1A,9.521970175644952,0.1458347289568101,82.50916750892848,0.0,0.0,939.2280786818943
SNX7,7.164437244671905,1.5153755065619627,82.45361810395273,0.0,0.0,938.9993437394868
HNF4G,9.145286433108408,-0.4997598465340662,82.42210480023785,0.0,0.0,938.2795274814638
PPP2R3A,5.591123124623169,3.056616155034836,82.38716138585919,0.0,0.0,938.5672966906233
TCEAL4,3.057617108778226,4.41564372712966,82.34627310247727,0.0,0.0,938.1940574717066
BCAR1,6.223008457396862,3.2208861703124088,82.32064862404853,0.0,0.0,937.9508740795127
TBX2,7.063820009600514,2.1330912649576046,82.3182883835763,0.0,0.0,937.8345578951904
ADGRL4,7.903148883001199,2.577105693128072,82.18407900114465,0.0,0.0,936.6284189362989
SH3D19,5.328377424451293,2.8427073742151383,82.09150288095324,0.0,0.0,935.7810294728332
LIMCH1,6.094907343252638,3.119010077334343,82.08831927993172,0.0,0.0,935.7664090444471
KCNJ16,10.36947258821578,2.2233619284298003,81.9370988938525,0.0,0.0,934.2688595122361
FOLH1,9.00635466955357,0.4491617896470183,81.81334807457019,0.0,0.0,932.7761462884897
RP1-60O19.1,10.201029453028472,1.4890935020471168,81.72111152318409,0.0,0.0,932.1206667734585
KDR,8.877071101444024,3.348103139640475,81.67237093019355,0.0,0.0,931.8576903788341
IGSF3,7.207773334965468,1.6927076479389274,81.66674775922088,0.0,0.0,931.6445513561897
RASSF8,6.383777950111277,1.50812594399652,81.61900253481754,0.0,0.0,931.1621679614673
LAMA4,7.093636052581615,3.736921100618293,81.45230412544112,0.0,0.0,929.7825342555732
TNKS1BP1,4.0344021008670765,4.570785174876489,81.27456091623056,0.0,0.0,928.0916178042687
ARHGEF17,4.396209308337761,4.608410796235777,81.02700483778659,0.0,0.0,925.7434270124666
ZNF704,6.458636248983547,2.5790747065094877,81.0162137411339,0.0,0.0,925.6090573748554
HOXC10,9.039139558336949,0.9674297434409104,80.90738763463663,0.0,0.0,924.3298757934274
CADPS2,6.689827560192736,1.694049042779014,80.88124467641184,0.0,0.0,924.215404639543
RP11-680F8.1,7.378995854505182,-1.500359463640002,80.83303723320599,0.0,0.0,923.1449397699083
PCDHB14,7.652348093653493,-0.06378958566106059,80.69755885428145,0.0,0.0,922.1270568734674
WWC2,4.49560919305084,3.204782212304602,80.69642692624194,0.0,0.0,922.6051744285182
LINC01515,6.322063476716517,-2.305814952532261,80.6923494349046,0.0,0.0,921.6538776196019
SH3BP4,5.296616926049464,3.267339095495395,80.67579083183558,0.0,0.0,922.4102611593524
